Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 4243, trainig accuracy 1
step 4248, trainig accuracy 0.98
step 4249, trainig accuracy 1
step 4250, trainig accuracy 1
step 4251, trainig accuracy 1
step 4352, trainig accuracy 0.98
step 4353, trainig accuracy 0.96
step 4354, trainig accuracy 0.98
step 4355, trainig accuracy 0.96
step 4360, trainig accuracy 1
step 4361, trainig accuracy 0.94
step 4362, trainig accuracy 1
step 4363, trainig accuracy 0.96
step 4368, trainig accuracy 1
step 4369, trainig accuracy 0.98
step 4370, trainig accuracy 1
step 4371, trainig accuracy 0.98
step 4376, trainig accuracy 1
step 4377, trainig accuracy 0.98
step 4378, trainig accuracy 1
step 4379, trainig accuracy 0.98
step 4480, trainig accuracy 0.98
step 4481, trainig accuracy 0.98
step 4482, trainig accuracy 0.98
step 4483, trainig accuracy 1
step 4488, trainig accuracy 0.96
step 4489, trainig accuracy 1
step 4490, trainig accuracy 0.96
step 4491, trainig accuracy 0.98
step 4496, trainig accuracy 1
step 4497, trainig accuracy 1
step 4498, trainig accuracy 0.96
step 4499, trainig accuracy 1
step 4504, trainig accuracy 1
step 4505, trainig accuracy 1
step 4506, trainig accuracy 1
step 4507, trainig accuracy 1
step 4608, trainig accuracy 0.98
step 4609, trainig accuracy 1
step 4610, trainig accuracy 0.98
step 4611, trainig accuracy 0.98
step 4616, trainig accuracy 0.98
step 4617, trainig accuracy 1
step 4618, trainig accuracy 0.98
step 4619, trainig accuracy 1
step 4624, trainig accuracy 1
step 4625, trainig accuracy 1
step 4626, trainig accuracy 0.94
step 4627, trainig accuracy 1
step 4632, trainig accuracy 0.98
step 4633, trainig accuracy 1
step 4634, trainig accuracy 1
step 4635, trainig accuracy 0.98
step 4736, trainig accuracy 1
step 4737, trainig accuracy 1
step 4738, trainig accuracy 1
step 4739, trainig accuracy 1
step 4744, trainig accuracy 1
step 4745, trainig accuracy 0.98
step 4746, trainig accuracy 0.98
step 4747, trainig accuracy 0.98
step 4752, trainig accuracy 1
step 4753, trainig accuracy 1
step 4754, trainig accuracy 1
step 4755, trainig accuracy 0.96
step 4760, trainig accuracy 0.98
step 4761, trainig accuracy 0.96
step 4762, trainig accuracy 0.96
step 4763, trainig accuracy 1
step 4864, trainig accuracy 1
step 4865, trainig accuracy 0.96
step 4866, trainig accuracy 0.98
step 4867, trainig accuracy 0.94
step 4872, trainig accuracy 0.98
step 4873, trainig accuracy 1
step 4874, trainig accuracy 0.98
step 4875, trainig accuracy 1
step 4880, trainig accuracy 0.98
step 4881, trainig accuracy 0.98
step 4882, trainig accuracy 0.98
step 4883, trainig accuracy 1
step 4888, trainig accuracy 0.96
step 4889, trainig accuracy 1
step 4890, trainig accuracy 1
step 4891, trainig accuracy 0.98
step 4992, trainig accuracy 0.98
step 4993, trainig accuracy 0.98
step 4994, trainig accuracy 1
step 4995, trainig accuracy 0.96
step 5000, trainig accuracy 1
step 5001, trainig accuracy 0.98
step 5002, trainig accuracy 1
step 5003, trainig accuracy 0.98
step 5008, trainig accuracy 0.98
step 5009, trainig accuracy 1
step 5010, trainig accuracy 0.98
step 5011, trainig accuracy 1
step 5016, trainig accuracy 1
step 5017, trainig accuracy 1
step 5018, trainig accuracy 1
step 5019, trainig accuracy 1
step 5120, trainig accuracy 1
step 5121, trainig accuracy 1
step 5122, trainig accuracy 0.98
step 5123, trainig accuracy 1
step 5128, trainig accuracy 0.98
step 5129, trainig accuracy 1
step 5130, trainig accuracy 0.98
step 5131, trainig accuracy 0.98
step 5136, trainig accuracy 1
step 5137, trainig accuracy 1
step 5138, trainig accuracy 1
step 5139, trainig accuracy 1
step 5144, trainig accuracy 0.98
step 5145, trainig accuracy 1
step 5146, trainig accuracy 1
step 5147, trainig accuracy 0.98
step 5248, trainig accuracy 0.98
step 5249, trainig accuracy 0.96
step 5250, trainig accuracy 0.96
step 5251, trainig accuracy 1
step 5256, trainig accuracy 0.98
step 5257, trainig accuracy 0.98
step 5258, trainig accuracy 1
step 5259, trainig accuracy 0.98
step 5264, trainig accuracy 0.96
step 5265, trainig accuracy 1
step 5266, trainig accuracy 1
step 5267, trainig accuracy 1
step 5272, trainig accuracy 1
step 5273, trainig accuracy 0.98
step 5274, trainig accuracy 0.98
step 5275, trainig accuracy 0.98
step 5376, trainig accuracy 1
step 5377, trainig accuracy 1
step 5378, trainig accuracy 1
step 5379, trainig accuracy 0.98
step 5384, trainig accuracy 1
step 5385, trainig accuracy 0.96
step 5386, trainig accuracy 1
step 5387, trainig accuracy 1
step 5392, trainig accuracy 1
step 5393, trainig accuracy 0.98
step 5394, trainig accuracy 1
step 5395, trainig accuracy 1
step 5400, trainig accuracy 1
step 5401, trainig accuracy 0.96
step 5402, trainig accuracy 0.96
step 5403, trainig accuracy 1
step 5504, trainig accuracy 1
step 5505, trainig accuracy 1
step 5506, trainig accuracy 0.98
step 5507, trainig accuracy 1
step 5512, trainig accuracy 0.96
step 5513, trainig accuracy 0.96
step 5514, trainig accuracy 0.98
step 5515, trainig accuracy 1
step 5520, trainig accuracy 1
step 5521, trainig accuracy 0.96
step 5522, trainig accuracy 1
step 5523, trainig accuracy 1
step 5528, trainig accuracy 1
step 5529, trainig accuracy 1
step 5530, trainig accuracy 0.98
step 5531, trainig accuracy 0.98
step 5632, trainig accuracy 0.98
step 5633, trainig accuracy 1
step 5634, trainig accuracy 1
step 5635, trainig accuracy 0.98
step 5640, trainig accuracy 0.98
step 5641, trainig accuracy 1
step 5642, trainig accuracy 1
step 5643, trainig accuracy 1
step 5648, trainig accuracy 1
step 5649, trainig accuracy 1
step 5650, trainig accuracy 1
step 5651, trainig accuracy 1
step 5656, trainig accuracy 1
step 5657, trainig accuracy 1
step 5658, trainig accuracy 1
step 5659, trainig accuracy 1
step 5760, trainig accuracy 0.98
step 5761, trainig accuracy 0.98
step 5762, trainig accuracy 1
step 5763, trainig accuracy 1
step 5768, trainig accuracy 1
step 5769, trainig accuracy 1
step 5770, trainig accuracy 1
step 5771, trainig accuracy 1
step 5776, trainig accuracy 1
step 5777, trainig accuracy 1
step 5778, trainig accuracy 0.98
step 5779, trainig accuracy 0.98
step 5784, trainig accuracy 1
step 5785, trainig accuracy 1
step 5786, trainig accuracy 1
step 5787, trainig accuracy 0.98
step 5888, trainig accuracy 0.98
step 5889, trainig accuracy 0.98
step 5890, trainig accuracy 1
step 5891, trainig accuracy 1
step 5896, trainig accuracy 0.96
step 5897, trainig accuracy 1
step 5898, trainig accuracy 1
step 5899, trainig accuracy 1
step 5904, trainig accuracy 1
step 5905, trainig accuracy 1
step 5906, trainig accuracy 0.94
step 5907, trainig accuracy 0.94
step 5912, trainig accuracy 1
step 5913, trainig accuracy 0.98
step 5914, trainig accuracy 1
step 5915, trainig accuracy 1
step 6016, trainig accuracy 1
step 6017, trainig accuracy 0.98
step 6018, trainig accuracy 0.98
step 6019, trainig accuracy 1
step 6024, trainig accuracy 0.98
step 6025, trainig accuracy 0.98
step 6026, trainig accuracy 1
step 6027, trainig accuracy 1
step 6032, trainig accuracy 1
step 6033, trainig accuracy 0.98
step 6034, trainig accuracy 1
step 6035, trainig accuracy 0.98
step 6040, trainig accuracy 1
step 6041, trainig accuracy 1
step 6042, trainig accuracy 1
step 6043, trainig accuracy 1
step 6144, trainig accuracy 0.98
step 6145, trainig accuracy 1
step 6146, trainig accuracy 0.98
step 6147, trainig accuracy 1
step 6152, trainig accuracy 1
step 6153, trainig accuracy 1
step 6154, trainig accuracy 1
step 6155, trainig accuracy 0.98
step 6160, trainig accuracy 0.98
step 6161, trainig accuracy 0.98
step 6162, trainig accuracy 1
step 6163, trainig accuracy 1
step 6168, trainig accuracy 0.98
step 6169, trainig accuracy 1
step 6170, trainig accuracy 1
step 6171, trainig accuracy 1
step 6272, trainig accuracy 1
step 6273, trainig accuracy 0.98
step 6274, trainig accuracy 0.98
step 6275, trainig accuracy 1
step 6280, trainig accuracy 1
step 6281, trainig accuracy 0.98
step 6282, trainig accuracy 1
step 6283, trainig accuracy 0.98
step 6288, trainig accuracy 0.98
step 6289, trainig accuracy 1
step 6290, trainig accuracy 0.96
step 6291, trainig accuracy 1
step 6296, trainig accuracy 1
step 6297, trainig accuracy 1
step 6298, trainig accuracy 1
step 6299, trainig accuracy 1
step 6400, trainig accuracy 0.98
step 6401, trainig accuracy 1
step 6402, trainig accuracy 1
step 6403, trainig accuracy 1
step 6408, trainig accuracy 1
step 6409, trainig accuracy 1
step 6410, trainig accuracy 1
step 6411, trainig accuracy 0.98
step 6416, trainig accuracy 0.98
step 6417, trainig accuracy 1
step 6418, trainig accuracy 0.96
step 6419, trainig accuracy 1
step 6424, trainig accuracy 0.98
step 6425, trainig accuracy 1
step 6426, trainig accuracy 1
step 6427, trainig accuracy 1
step 6528, trainig accuracy 1
step 6529, trainig accuracy 1
step 6530, trainig accuracy 0.98
step 6531, trainig accuracy 1
step 6536, trainig accuracy 1
step 6537, trainig accuracy 1
step 6538, trainig accuracy 1
step 6539, trainig accuracy 0.96
step 6544, trainig accuracy 1
step 6545, trainig accuracy 1
step 6546, trainig accuracy 0.96
step 6547, trainig accuracy 0.96
step 6552, trainig accuracy 1
step 6553, trainig accuracy 1
step 6554, trainig accuracy 1
step 6555, trainig accuracy 1
step 6656, trainig accuracy 0.98
step 6657, trainig accuracy 1
step 6658, trainig accuracy 1
step 6659, trainig accuracy 0.98
step 6664, trainig accuracy 0.98
step 6665, trainig accuracy 1
step 6666, trainig accuracy 0.98
step 6667, trainig accuracy 1
step 6672, trainig accuracy 1
step 6673, trainig accuracy 0.98
step 6674, trainig accuracy 0.98
